8586/3	Thymic carcinoma, NOS
8590/1	Sex cord-gonadal stromal tumor, NOS
8600/0	Thecoma, NOS
8620/1	Adult granulosa cell tumor of testis
8631/3	Sertoli-Leydig cell tumor, poorly differentiated
8670/0	Lipid cell tumor of ovary
8680/3	Paraganglioma, NOS
8693/3	Extra-adrenal paraganglioma, NOS
8700/3	Pheochromocytoma, NOS
8710/3	Glomangiosarcoma
8720/3	Malignant melanoma, NOS
8721/3	Nodular melanoma
8730/3	Amelanotic melanoma
8742/3	Lentigo maligna melanoma
8743/3	Low cumulative sun damage melanoma
8744/3	Acral melanoma
8745/3	Desmoplastic melanoma, NOS
8746/3	Mucosal lentiginous melanoma
8761/1	Giant pigmented nevus, NOS
8770/3	Malignant Spitz tumor
8771/3	Epithelioid cell melanoma, NOS
8772/3	Spindle cell melanoma, NOS
8774/3	Spindle cell melanoma, type B
8800/3	Sarcoma, NOS
8801/3	Spindle cell sarcoma
8802/3	Giant cell sarcoma
8803/3	small cell sarcoma
8804/3	Epithelioid sarcoma, NOS
8805/3	Undifferentiated sarcoma
8806/3	Desmoplastic small round cell tumor
8810/3	Fibrosarcoma, NOS
8811/3	Myxofibrosarcoma
8815/0	Solitary fibrous tumor/Hemangiopericytoma, grade 1
8821/1	Aggressive fibromatosis
8822/1	Abdominal fibromatosis
8825/1	Myofibroblastic tumor, NOS
8827/1	Myofibroblastic tumor, peribronchial
8830/3	Malignant fibrous histiocytoma
8832/0	Dermatofibroma, NOS
8832/3	Dermatofibrosarcoma protuberans, fibrosarcomatous
8840/0	Myxoma, NOS
8840/3	Myxosarcoma
8842/0	Ossifying fibromyxoid tumor, NOS
8850/3	Liposarcoma, NOS
8851/3	Liposarcoma, well differentiated, NOS
8852/3	Myxoid liposarcoma
8854/3	Pleomorphic liposarcoma
8858/3	Dedifferentiated liposarcoma
8860/0	Angiomyolipoma
8890/0	Leiomyoma, NOS
8890/3	Leiomyosarcoma, NOS
8891/3	Epithelioid leiomyosarcoma
8896/3	Myxoid leiomyosarcoma
8897/1	Smooth muscle tumor of uncertain malignant potential
8900/3	Rhabdomyosarcoma, NOS
8901/3	Pleomorphic rhabdomyosarcoma, adult type
8902/3	Mixed type rhabdomyosarcoma
8910/3	Embryonal rhabdomyosarcoma, NOS
8912/3	Spindle cell rhabdomyosarcoma
8920/3	Alveolar rhabdomyosarcoma
8930/3	Endometrial stromal sarcoma, NOS
8931/3	Endometrial stromal sarcoma, low grade
8933/3	Adenosarcoma
8936/3	Gastrointestinal stromal tumor
8950/3	Mullerian mixed tumor
8951/3	Mesodermal mixed tumor
8960/3	Nephroblastoma, NOS
8963/3	Rhabdoid tumor, NOS
8964/3	Clear cell sarcoma of kidney
8970/3	Hepatoblastoma, NOS
8971/3	Pancreatoblastoma
8973/3	Pleuropulmonary blastoma
8980/3	Carcinosarcoma, NOS
8982/3	Myoepithelioma, NOS
8983/0	Adenomyoepithelioma, NOS
8990/1	Mesenchymoma, NOS
9000/0	Brenner tumor, NOS
9020/1	Phyllodes tumor, borderline
9020/3	Phyllodes tumor, malignant
9040/3	Synovial sarcoma, NOS
9041/3	Synovial sarcoma, spindle cell
9043/3	Synovial sarcoma, biphasic
9044/3	Clear celll sarcoma, NOS
9050/3	Mesothelioma, malignant
9051/3	Fibrous mesothelioma, malignant
9052/3	Epithelioid mesothelioma, malignant
9053/3	Mesothelioma, biphasic, malignant
9060/3	Dysgerminoma
9061/3	Seminoma, NOS
9064/3	Germinoma
9065/3	Germ cell tumor, nonseminomatous
9070/3	Embryonal carcinoma, NOS
9071/3	Yolk sac tumor, NOS
9080/0	Teratoma, benign
9080/1	Teratoma, NOS
9080/3	Teratoma, malignant, NOS
9081/3	Teratocarcinoma
9084/3	Teratoma with malignant transformation
9085/3	Mixed germ cell tumor
9100/0	Hydatidiform mole, NOS
9100/3	Choriocarcinoma, NOS
9105/3	Trophoblastic tumor, epithelioid
9110/3	Mesonephroma, malignant
9120/0	Hemangioma, NOS
9120/3	Hemangiosarcoma
9124/3	Kupffer cell sarcoma
9133/3	Epithelioid hemangioendothelioma, NOS
9137/3	Intimal sarcome
9161/1	Hemangioblastoma
9174/1	Lymphangioleiomyomatosis
9180/3	Osteosarcoma, NOS
9181/3	Chondroblastic osteosarcoma
9182/3	Fibroblastic osteosarcoma
9184/3	Osteosarcoma in Paget disease of bone
9185/3	Small cell osteosarcoma
9187/3	Low grade central osteosarcoma
9194/3	High grade surface osteosarcoma
9220/3	Chondrosarcoma, NOS
9231/3	Myxoid chondrosarcoma
9240/3	Mesenchymal chondrosarcoma
9243/3	Dedifferentiated chondrosarcoma
9250/1	Giant cell tumor of bone, NOS
9252/0	Tenosynovial giant cell tumor, NOS
9270/3	Odontogentic tumor, malignant
9341/3	Clear cell odontogenic carcinoma
9350/1	Craniopharyngioma, NOS
9351/1	Craniopharyngioma, adamantinomatous
9352/1	Craniopharyngioma, papillary
9360/1	Pinealoma
9362/3	Pineoblastoma
9370/3	Chordoma, NOS
9380/3	Glioma, malignant
9382/3	Oligoastrocytoma, NOS
9383/1	Subependymoma
9390/0	Choroid plexus papilloma, NOS
9390/1	Atypical choroid plexus papilloma
9391/3	Ependymoma, NOS
9392/3	Ependymoma, anaplastic
9394/1	Myxopapillary ependymoma
9400/3	Astrocytoma, NOS
9401/3	Astrocytoma, anaplastic, NOS
9413/0	Dysembryoplastic neuroepithelial tumor
9421/1	Pilocytic astrocytoma
9424/3	Pleomorphic xanthoastrocytoma, NOS
9425/3	Pilomyxoid astrocytoma
9430/3	Astroblastoma
9431/1	Angiocentric glioma
9432/1	Pituicytoma
9440/3	Glioblastoma, NOS
9442/3	Gliosarcoma
9450/3	Oligodendroglioma, NOS
9451/3	Oligodendroglioma, anaplastic, NOS
9470/3	Medulloblastoma, NOS
9471/3	Desmoplastic nodular medulloblastoma
9473/3	CNS embryonal tumor, NOS
9474/3	Large cell medulloblastoma
9490/0	Ganglioneuroma
9490/3	Gnanglioneuroblastoma
9500/3	Neuroblastoma, NOA
9505/1	Ganglioglioma, NOS
9505/3	Ganglioglioma, anaplastic
9506/1	Central neurocytoma
9508/3	Aypical teratoid/rhabdoid tumor
9509/1	Papillary glioneuronal tumor
9510/3	Retinoblastoma, NOS
9522/3	Olfactory neuroblastoma
9530/0	Meningioma, NOS
9530/3	Meningioma, malignant
9538/3	Papillary meningioma
9539/1	Atypical meningioma
9540/0	Neurofibroma, NOS
9540/3	Malignant peripheral nerve sheath tumor, NOS
9560/0	Schwannoma, NOS
9560/1	Melanotic schwannoma
9580/0	Granular cell tumor, NOS
9581/3	Alveolar soft part sarcoma
9590/3	Malignant lymphoma, NOS
9650/3	Hodgkin lymphoma, NOS
9659/3	Hodgkin lymphoma, nodular lymphocyte predominant
9673/3	Mantle cell lymphoma
9678/3	Primary effusion lymphoma
9679/3	Mediastinal large B-cell lymphoma
9680/3	Diffuse large B-cell lymphoma, NOS
9687/3	Burkitt lymphoma, NOS
9690/3	Follicular lymphoma, NOS
9699/3	Marginal zone B-cell lymphoma, NOS
9700/3	Mycosis fungoides
9701/3	Sezary syndrome
9702/3	Mature T-cell lymphoma, NOS
9705/3	Angioimmunoblastic T-cell lymphoma
9712/3	Intravascular large B-cell lymphoma
9714/3	Anaplastic large cell lymphoma, T-cell and Null-cell type
9727/3	Precursor cell lymphoblastic lymphoma, NOS
9732/3	Plasma cell myeloma
9741/1	Indolent systemic mastocytosis
9741/3	Malignant mastocytosis
9750/3	Malignant histiocytosis
9757/3	Interdigitating dendritic cell sarcoma
9758/3	Follicular dendritic cell sarcoma
9761/3	Waldenstrom macroglobulinemia
9800/3	Leukemia, NOS
9801/3	Acute leukemia, NOS
9806/3	Mixed phenotype acute leukemia with t(9;22)(q34;q11.2); BCR-ABL1
9807/3	Mixed phenotype acute lukemia with t(v;11q23); MLL rearranged
9808/3	Mixed phenotype acute leukemia, B/myeloid, NOS
9809/3	Mixed phenotype acute leukemia, T/myeloid, NOS
9811/3	B lymphoblastic leukemia/lymphoma, NOS
9812/3	B Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2); BCR-ABL1
9813/3	B Lymphoblastic Leukemia/Lymphoma with t(v;11q23.3); KMT2A Rearranged
9815/3	Hyperdiploid B Lymphoblastic Leukemia/Lymphoma
9816/3	B Lymphoblastic Leukemia/Lymphoma with Hypodiploidy
9818/3	B Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3); TCF3-PBX1
9823/3	B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma
9827/3	Adult T-cell leukemia/lymphoma (HTLV-1 positive)
9831/3	T-cell large granular lymphocytic leukemia
9835/3	Precursor cell lymphoblastic leukemia, NOS
9837/3	Precursor T-cell lymphoblastic leukemia
9840/3	Acute erythroid leukemia
9861/3	Acute myeloid leukemia, NOS
9863/3	Cronic myeloid leukemia, NOS
9865/3	Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214
9866/3	Acute promyelocytic leukemia, t(15;17)(q22;q11-12)
9867/3	Acute myelomonocytic leukemia, NOS
9869/3	Acute Myeloid Leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1
9871/3	Acute myeloid leukemia with abnormal marrow eosinophils
9872/3	Acute myeloid leukemia, minimal differentiation
9873/3	Acute myeloid leukemia without maturation
9874/3	Acute myeloid leukemia with maturation
9876/3	Atypical chronic myeloid leukemia, BCR/ABL negative
9891/3	Acute monocytic leukemia
9895/3	Acute myeloid leukemia with myelodysplasia-related changes
9896/3	Acute myeloid leukemia, t(8;21)(q22;q22)
9897/3	Acute myeloid leukemia, 11q23 abnormalities
9898/3	Myeloid leukemia associated with Down syndrome
9910/3	Aute megakaryoblastic leukemia
9920/3	Therapy-related myeloid neoplasm
9930/3	Myeloid sarcoma
9940/3	Hleukemia, NOS
9945/3	Chronic myelomonocytic leukemia, NOS
9946/3	Juvenile myelomonocytic leukemia, NOS
9950/3	Polycythemia vera
9960/3	Myeloproliferative neoplasm, NOS
9961/3	Primary myelofibrosis
9962/3	Essential thrombocythemia
9963/3	Chronic neutrophilic leukemia
9964/3	Cronic eosinophilic leukemia
9965/3	Myeloid or lymphoid neoplasm with PDGFRA rearrangement
9975/3	Myeloproliferative neoplasm, unclassifiable
9982/3	Myelodysplastic syndrome with ring sideroblasts and single lineage dysplasia
9983/3	Myelodysplastic syndrome with excess blasts
9985/3	Melodysplastic syndrome with multilineage dysplasia
9986/3	Mlodysplastic syndrome with isolated del (5q)
9987/3	Therapy-related myelodysplastic syndrome, NOS
9989/3	Myelodysplastic syndrome, NOS
